"ServiceNo","Operator","Direction","StopSequence","BusStopCode","Distance","WD_FirstBus","WD_LastBus","SAT_FirstBus","SAT_LastBus","SUN_FirstBus","SUN_LastBus"
"10","SBST","1","1","75009","0","0500","2300","0500","2300","0500","2300"
"10","SBST","1","2","76059","0.6","0502","2302","0502","2302","0502","2302"
"10","SBST","1","3","76069","1.1","0504","2304","0504","2304","0503","2304"
"10","SBST","1","4","96289","2.3","0508","2308","0508","2309","0507","2308"
"10","SBST","1","5","96109","2.7","0509","2310","0509","2311","0508","2309"
"10","SBST","1","6","85079","3.3","0511","2312","0511","2313","0510","2311"
"10","SBST","1","7","85089","3.5","0512","2313","0512","2314","0511","2312"
"10","SBST","1","8","85069","3.8","0513","2314","0513","2315","0512","2313"
"10","SBST","1","9","85059","4.1","0514","2315","0514","2316","0513","2314"
"10","SBST","1","10","85049","4.5","0515","2316","0515","2317","0514","2315"
"10","SBST","1","11","85039","4.8","0517","2318","0517","2319","0516","2317"
"10","SBST","1","12","85029","5","0517","2318","0517","2319","0516","2317"
"10","SBST","1","13","85019","5.2","0518","2319","0518","2320","0517","2318"
"10","SBST","1","14","94079","5.4","0519","2320","0519","2321","0518","2319"
"10","SBST","1","15","94069","5.8","0520","2321","0520","2322","0519","2320"
"10","SBST","1","16","94059","6.1","0521","2322","0521","2323","0520","2321"
"10","SBST","1","17","94049","6.5","0522","2323","0522","2324","0521","2322"
"10","SBST","1","18","94089","6.7","0522","2323","0522","2324","0521","2323"
"10","SBST","1","19","94039","7","0523","2324","0523","2325","0522","2324"
"10","SBST","1","20","94029","7.4","0524","2325","0524","2326","0523","2325"
"10","SBST","1","21","94019","7.6","0525","2325","0525","2326","0524","2326"
"10","SBST","1","22","93099","8","0526","2326","0526","2327","0525","2327"
"10","SBST","1","23","93089","8.5","0527","2327","0527","2328","0526","2329"
"10","SBST","1","24","93079","8.8","0528","2328","0528","2329","0527","2330"
"10","SBST","1","25","93069","9.1","0529","2329","0529","2330","0528","2331"
"10","SBST","1","26","93059","9.5","0530","2330","0530","2331","0529","2332"
"10","SBST","1","27","92159","9.8","0531","2331","0531","2332","0530","2333"
"10","SBST","1","28","92149","10.1","0533","2332","0532","2333","0531","2334"
"10","SBST","1","29","92139","10.4","0534","2332","0532","2334","0531","2335"
"10","SBST","1","30","92129","10.9","0535","2334","0534","2336","0533","2337"
"10","SBST","1","31","92119","11.4","0537","2335","0535","2337","0534","2338"
"10","SBST","1","32","92109","11.6","0538","2336","0536","2338","0535","2339"
"10","SBST","1","33","92099","11.9","0539","2336","0536","2339","0535","2339"
"10","SBST","1","34","92161","12.4","0541","2338","0538","2341","0537","2341"
"10","SBST","1","35","82071","12.8","0542","2339","0539","2342","0538","2342"
"10","SBST","1","36","81199","13.6","0543","2341","0541","2344","0540","2344"
"10","SBST","1","37","81189","13.9","0544","2341","0541","2345","0540","2344"
"10","SBST","1","38","81179","14.4","0545","2342","0542","2346","0541","2345"
"10","SBST","1","39","80141","15","0546","2343","0544","2347","0543","2347"
"10","SBST","1","40","80219","15.7","0547","2345","0546","2349","0545","2349"
"10","SBST","1","41","80169","17.1","0550","2348","0549","2353","0548","2352"
"10","SBST","1","42","80159","17.8","0552","2350","0551","2355","0550","2353"
"10","SBST","1","43","02119","18.3","0553","2351","0552","2356","0551","2354"
"10","SBST","1","44","03019","19.3","0556","2354","0554","2359","0553","2356"
"10","SBST","1","45","03059","19.6","0557","2355","0555","2400","0554","2357"
"10","SBST","1","46","03129","20","0558","2356","0556","0001","0555","2358"
"10","SBST","1","47","03217","20.4","0559","2357","0557","0002","0556","2359"
"10","SBST","1","48","05649","21.3","0602","2359","0600","0004","0559","0001"
"10","SBST","1","49","14061","21.6","0603","2400","0600","0005","0559","0002"
"10","SBST","1","50","14071","22.1","0604","0001","0601","0006","0600","0003"
"10","SBST","1","51","14081","22.5","0606","0003","0602","0007","0601","0004"
"10","SBST","1","52","14101","22.9","0607","0004","0603","0008","0602","0004"
"10","SBST","1","53","14141","23.7","0609","0006","0604","0010","0603","0006"
"10","SBST","1","54","14121","24","0610","0007","0605","0011","0604","0007"
"10","SBST","1","55","14131","24.4","0611","0008","0606","0012","0605","0008"
"10","SBST","1","56","14151","24.9","0612","0010","0607","0014","0606","0009"
"10","SBST","1","57","14161","25.3","0613","0011","0608","0015","0607","0010"
"10","SBST","1","58","14171","25.7","0614","0012","0609","0016","0608","0011"
"10","SBST","1","59","15141","26.4","0616","0014","0610","0017","0609","0012"
"10","SBST","1","60","15151","26.7","0617","0014","0611","0018","0610","0013"
"10","SBST","1","61","15161","26.9","0618","0015","0611","0018","0610","0013"
"10","SBST","1","62","15191","27.4","0619","0016","0612","0019","0611","0014"
"10","SBST","1","63","15201","27.7","0620","0017","0613","0020","0612","0015"
"10","SBST","1","64","15221","28.3","0621","0018","0614","0021","0613","0016"
"10","SBST","1","65","16201","28.6","0622","0018","0614","0021","0613","0017"
"10","SBST","1","66","16011","28.9","0623","0019","0615","0022","0614","0018"
"10","SBST","1","67","16021","29.4","0624","0020","0616","0023","0615","0019"
"10","SBST","1","68","16031","29.7","0625","0021","0617","0024","0616","0020"
"10","SBST","1","69","16041","29.9","0625","0021","0617","0025","0616","0020"
"10","SBST","1","70","16051","30.2","0626","0022","0618","0025","0617","0021"
"10","SBST","1","71","16061","30.4","0626","0022","0618","0026","0617","0021"
"10","SBST","1","72","16071","30.7","0627","0023","0619","0027","0618","0022"
"10","SBST","1","73","16081","31","0628","0023","0620","0028","0619","0023"
"10","SBST","1","74","16009","31.5","0630","0024","0622","0029","0621","0024"
